🕘️更新时间,#genre#
2025-09-09 18:38:08,http://qjrhc.jydjd.top:2911/udp/224.1.100.93:11111

📺央视频道,#genre#
CCTV-2,http://qjrhc.jydjd.top:2911/udp/224.1.100.93:11111
CCTV-3,http://qjrhc.jydjd.top:2911/udp/224.1.100.63:11111
CCTV-4,http://qjrhc.jydjd.top:2911/udp/224.1.100.103:11111
CCTV-5,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?BR=td
CCTV-5,http://qjrhc.jydjd.top:2911/udp/224.1.100.81:11111
CCTV-5,http://www.cdnstv.com:6398/hls/5/index.m3u8
CCTV-5+,http://qjrhc.jydjd.top:2911/udp/224.1.100.26:11111
CCTV-5+,http://116.128.242.83:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://113.15.109.216:59901/tsfile/live/1001_1.m3u8
CCTV-6,http://218.17.33.178:53290/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://113.26.202.52:1299/tsfile/live/0006_1.m3u8
CCTV-6,http://qjrhc.jydjd.top:2911/udp/224.1.100.83:11111
CCTV-6,http://116.128.242.83:9901/tsfile/live/0007_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV-6,http://www.cdnstv.com:6398/hls/6/index.m3u8
CCTV-7,http://153.0.171.163:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv7_1_td.m3u8
CCTV-7,http://omnix.cn:4000/udp/225.1.8.7:8104
CCTV-7,http://113.26.202.52:1299/tsfile/live/0007_1.m3u8
CCTV-7,http://qjrhc.jydjd.top:2911/udp/224.1.100.28:11111
CCTV-7,http://116.128.242.83:9901/tsfile/live/0008_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV-7,http://www.cdnstv.com:6398/hls/7/index.m3u8
CCTV-7,http://113.15.109.216:59901/tsfile/live/1002_1.m3u8
CCTV-8,http://php.cqshushu.ggff.net/jzb.php?id=cctv8&公众号【医工学习日志】
CCTV-8,http://222.129.32.255:4022/rtp/239.3.1.175:8001
CCTV-8,http://218.17.33.178:53290/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://113.26.202.52:1299/tsfile/live/0008_1.m3u8
CCTV-8,http://qjrhc.jydjd.top:2911/udp/224.1.100.85:11111
CCTV-8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://www.cdnstv.com:6398/hls/8/index.m3u8
CCTV-8,http://61.156.228.12:8154/tsfile/live/0008_1.m3u8
CCTV-9,http://php.cqshushu.ggff.net/jzb.php?id=cctv9&公众号【医工学习日志】
